Subject,Credit,Section,Grade,Term,Number_id
010123101 INTRODUCTION TO COMPUTER	,1,1,B,1,5701012620101
040203111 ENGINEERING MATHEMATICS I	,3,6,B,1,5701012620101
040313005 PHYSICS I,3,5,B,1,5701012620101
040313006 PHYSICS LABORATORY I,1,5,A,1,5701012620101
080103001 ENGLISH I,3,20,A,1,5701012620101
080203901 MAN AND SOCIETY,3,1,A,1,5701012620101
080303505 TABLE TENNIS,1,2,B+,1,5701012620101
010113011 ELECTRIC CIRCUIT LAB,1,2,A,2,5701012620101
040203112 ENGINEERING MATHEMATICS II,3,5,B,2,5701012620101
040313007 PHYSICS II,3,6,A,2,5701012620101
040313008 PHYSICS LABORATORY II,1,7,A,2,5701012620101
080103002 ENGLISH II,3,28,A,2,5701012620101
080303501 BASKETBALL,1,6,B,2,5701012620101
080303601 HUMAN RELATIONS,3,2,A,2,5701012620101
010113010 ELECTRIC CIRCUIT THEORY,3,1,C+,3,5701012620101
010123102 PROGRAMMING FUNDAMENTALS,3,1,C,3,5701012620101
010123105 STATISTICS FOR COMPUTER ENGINEERING,3,1,D+,3,5701012620101
010123106 INTRODUCTION TO SIGNALS AND SYSTEMS,3,1,C+,3,5701012620101
010123107 LOGIC DESIGN OF DIGITAL SYSTEMS,3,1,C,3,5701012620101
010123108 DIGITAL SYSTEM DESIGN LABORATORY,1,1,C,3,5701012620101
040503001 STATISTICS IN EVERYDAY LIFE,3,14,B+,3,5701012620101
010123103 ALGORITHMS AND DATA STRUCTURE,3,1,C+,4,5701012620101
010123112 COMPUTER ORGANIZATION,3,1,C,4,5701012620101
010123113 DATA COMMUNICATIONS,3,1,D+,4,5701012620101
010123114 ANALOG AND DIGITAL ELECTRONICS,3,1,B+,4,5701012620101
040203100 GENERAL MATHEMATICS,3,2,B+,4,5701012620101
080103016 ENGLISH CONVERSATION I,3,22,A,4,5701012620101
010123104 DISCRETE MATHEMATICS,3,1,C,5,5701012620101
010123109 BUILDING SOFTWARE SYSTEMS I,3,2,B+,5,5701012620101
010123115 ANALOG AND DIGITAL ELECTRONICS,1,1,A,5,5701012620101
010123117 OPERATING SYSTEMS,3,1,C+,5,5701012620101
010123118 COMPUTER NETWORKS,3,1,A,5,5701012620101
040313017 EXERCISE SKILL AND SPORT,3,1,A,5,5701012620101
080103018 ENGLISH FOR WORK,3,8,A,5,5701012620101
080303401 KARAOKE,1,10,B+,5,5701012620101
010123110 BUILDING SOFTWARE SYSTEMS II,3,2,C+,6,5701012620101
010123111 HIGH LEVEL DESIGN FOR DIGITAL,3,1,D+,6,5701012620101
010123211 SIMULATION AND MODELING,3,1,B+,6,5701012620101
010123218 SIMULATION AND MODELING,3,1,B+,6,5701012620101
040313016 PHYSICS IN DAILY LIFE,3,4,A,6,5701012620101
080303607 SAFETY LIFE,3,2,B+,6,5701012620101
010123116 SOFTWARE ENGINEERING,3,1,B+,7,5701012620101
010123119 EMBEDDED SYSTEM DESIGN,3,1,C+,7,5701012620101
010123122 PROJECT I,3,4,A,7,5701012620101
010123205 COMPUTER AND NETWORK SECURITY,3,1,B+,7,5701012620101
010123217 SELECTED TOPICS IN COMPUTER I,3,1,C,7,5701012620101
030943131 MATHEMATICS IN EVERYDAY LIFE,3,1,A,7,5701012620101
