Subject,Credit,Section,Grade,Term,Number_id
010123101 INTRODUCTION TO COMPUTER,1,1,D+,1,5701012620187
040203111 ENGINEERING MATHEMATICS I,3,6,C,1,5701012620187
040313005 PHYSICS I,3,5,C,1,5701012620187
040313006 PHYSICS LABORATORY I,1,5,B+,1,5701012620187
080103001 ENGLISH I,3,20,D+,1,5701012620187
080203901 MAN AND SOCIETY,3,1,B,1,5701012620187
080303505 TABLE TENNIS,1,2,B,1,5701012620187
010113011 ELECTRIC CIRCUIT LAB,1,1,C+,2,5701012620187
040203112 ENGINEERING MATHEMATICS II,3,5,C,2,5701012620187
040313007 PHYSICS II,3,6,C,2,5701012620187
040313008 PHYSICS LABORATORY II,1,7,B+,2,5701012620187
080103002 ENGLISH II,3,28,C,2,5701012620187
080303301 ART APPRECIATION,3,1,A,2,5701012620187
080303501 BASKETBALL,1,6,B,2,5701012620187
010113010 ELECTRIC CIRCUIT THEORY,3,1,D,3,5701012620187
010123102 PROGRAMMING FUNDAMENTALS,3,1,F,3,5701012620187
010123105 STATISTICS FOR COMPUTER ENGI,3,1,D,3,5701012620187
010123106 INTRODUCTION TO SIGNALS AND,3,1,D,3,5701012620187
010123107 LOGIC DESIGN OF DIGITAL SYST,3,1,D,3,5701012620187
010123108 DIGITAL SYSTEM DESIGN LABORA,1,1,C,3,5701012620187
010123111 HIGH LEVEL DESIGN FOR DIGITA,3,1,D+,4,5701012620187
010123112 COMPUTER ORGANIZATION,3,1,F,4,5701012620187
010123113 DATA COMMUNICATIONS,3,1,D,4,5701012620187
010123114 ANALOG AND DIGITAL ELECTRONI,3,1,D,4,5701012620187
040203100 GENERAL MATHEMATICS,3,2,B,4,5701012620187
010123102 PROGRAMMING FUNDAMENTALS,3,1,B,5,5701012620187
010123115 ANALOG AND DIGITAL ELECTRONI,1,1,C,5,5701012620187
010123118 COMPUTER NETWORKS,3,1,B,5,5701012620187
040313017 EXERCISE SKILL AND SPORT,3,1,B+,5,5701012620187
080103016 ENGLISH CONVERSATION I,3,17,C,5,5701012620187
080303606 SYSTEMATIC AND CREATIVE THIN,3,13,C+,5,5701012620187
010123103 ALGORITHMS AND DATA STRUCTUR,3,1,A,6,5701012620187
010123112 COMPUTER ORGANIZATION,3,1,C,6,5701012620187
040313018 HUMAN BODY AND HEALTH,3,2,A,6,5701012620187
040503001 STATISTICS IN EVERYDAY LIFE,3,4,C+,6,5701012620187
010123117 OPERATING SYSTEMS,3,1,D,7,5701012620187
010123119 EMBEDDED SYSTEM DESIGN,3,1,D,7,5701012620187
010123122 PROJECT I,3,4,B+,7,5701012620187
010123131 SOFTWARE DEVELOPMENT PRACTIC,3,2,C+,7,5701012620187
010123218 SELECTED TOPICS IN COMPUTER,3,1,C,7,5701012620187
080303903 HUMAN BEHAVIORS IN ORGAN,3,1,B,7,5701012620187
